sid,cl_mena_sid,"nazov"
1,1,"0 - 12 000"
2,1,"12 000 - 60 000"
3,1,"60 000 - 120 000"
4,2,"0 - 600"
5,2,"600 - 3000"
6,2,"3000 - 6000"
7,1,"120 000 - 480 000"
8,1,"480 000 - 1 200 000"
9,1,"1 200 000 a viac"
10,2,"6 000 - 24 000"
11,2,"24 000 - 60 000"
12,2,"60 000 a viac"
35,3,"3 500 - 13 800"
34,3,"1 800 - 3 500"
31,3,"350 - 1 800"
30,3,"0 - 350"
18,4,"0 - 12 000"
19,4,"12 000 - 60 000"
20,4,"60 000 - 120 000"
21,4,"120 000 - 480 000"
22,4,"480 000 - 1 200 000"
23,4,"1 200 000 a viac"
42,5,"95 000 - 250 000"
41,5,"25 000 - 95 000"
40,5,"12 000 - 25 000"
39,5,"2 500 - 12 000"
38,5,"0 - 2 500"
29,6,"0 - 250"
36,3,"13 800 - 35 000"
37,3,"35 000 a viac"
43,5,"250 000 a viac"
44,6,"250 - 1 200"
45,6,"1 200 - 2 500"
46,6,"2 500 - 10 000"
47,6,"10 000 - 25 000"
48,6,"25 000 a viac"
49,7,"0 - 90 000"
50,7,"90 000 - 450 000"
51,7,"450 000 - 900 000"
52,7,"900 000 - 3 500 000"
53,7,"3 500 000 - 9 000 000"
54,7,"9 000 000 a viac"
55,8,"0 - 600"
56,8,"600 - 3 000"
57,8,"3 000 - 6 000"
58,8,"6 000 - 24 000"
59,8,"24 000 - 60 000"
60,8,"60 000 a viac"
61,9,"0 - 600"
62,9,"600 - 3 000"
63,9,"3 000 - 6 000"
64,9,"6 000 - 24 000"
65,9,"24 000 - 60 000"
66,9,"60 000 a viac"
67,10,"0 - 2 500"
68,10,"2 500 - 12 000"
69,10,"12 000 - 25 000"
70,10,"25 000 - 95 000"
71,10,"95 000 - 250 000"
72,10,"250 000 a viac"
73,11,"0 - 1 300"
74,11,"1 300 - 6 500"
75,11,"6 500 - 13 000"
76,11,"13 000 - 53 000"
77,11,"53 000 - 130 000"
78,11,"130 000 a viac"
79,12,"0 - 2 500"
80,12,"2 500 - 12 000"
81,12,"12 000 - 25 000"
82,12,"25 000 - 95 000"
83,12,"95 000 - 250 000"
84,12,"250 000 a viac"
85,13,"0 - 450"
86,13,"450 - 2 500"
87,13,"2 500 - 4 500"
88,13,"4 500 - 18 000"
89,13,"18 000 - 45 000"
90,13,"45 000 a viac"



