sid,cl_sektor_podnikania_sid,"nazov"
1,1,"Štátny podnik"
2,2,"Nadácia"
3,2,"Občianske združenie"
17,1,"Iné"
5,1,"Akciová spoločnosť"
6,1,"Európska spoločnosť"
7,1,"Spoločnosť s ručením obmedzeným"
8,1,"Verejná obchodná spoločnosť"
9,1,"Komoditná spoločnosť"
10,1,"Samostatne podnikajúca fyzická osoba"
11,1,"Družstvo"
12,1,"Európske združenie hospodárskych záujmov"
13,1,"Organizačná zložka podniku"
14,1,"Organizačná zložka zahraničnej osoby"
15,1,"Živnostník"
18,2,"Nezisková organizácia"
19,2,"Obecne prospešná spoločnosť"



