sid,cl_mena_sid,"nazov"
9,1,"10000 - 50000"
8,1,"5000 - 10000"
7,1,"0 - 5000"
18,13,"500 - 2500"
17,13,"250 - 500"
16,13,"0 -250"
10,1,"50000 - 100000"
11,1,"100000 - 250000"
12,1,"250000 - 500000"
13,1,"500000 - 1000000"
14,1,"1000000 a viac"
19,13,"2500 - 5000"
20,13,"5000 - 10000"
21,13,"10000 - 25000"
22,13,"25000 - 50000"
23,13,"50000 a viac"
24,2,"0 -250"
25,2,"250 - 500"
26,2,"500 - 2500"
27,2,"2500 - 5000"
28,2,"5000 - 10000"
29,2,"10000 - 25000"
30,2,"25000 - 50000"
31,2,"50000 a viac"
32,4,"0 - 5000"
33,4,"5000 - 10000"
34,4,"10000 - 50000"
35,4,"50000 - 100000"
36,4,"100000 - 250000"
37,4,"250000 - 500000"
38,4,"500000 - 1000000"
39,4,"1000000 a viac"
40,8,"0 -250"
41,8,"250 - 500"
42,8,"500 - 2500"
43,8,"2500 - 5000"
44,8,"5000 - 10000"
45,8,"10000 - 25000"
46,8,"25000 - 50000"
47,8,"50000 a viac"
77,9,"1250000 - 2500000"
76,9,"500000 - 1250000"
75,9,"250000 - 500000"
74,9,"50000 - 250000"
73,9,"25000 - 50000"
72,9,"0 - 25000"
56,3,"0 - 150"
57,3,"150 - 300"
58,3,"300 - 1500"
59,3,"1500 - 3000"
60,3,"3000 - 8000"
61,3,"8000 - 15000"
62,3,"15000 - 30000"
63,3,"30000 a viac"
64,6,"0 - 100"
65,6,"100 - 200"
66,6,"200 - 1000"
67,6,"1000 - 2000"
68,6,"2000 - 5000"
69,6,"5000 - 10000"
70,6,"10000 - 20000"
71,6,"20000 a viac"
78,9,"2500000 - 5000000"
79,9,"5000000 a viac"
80,7,"0 - 25000"
81,7,"25000 - 50000"
82,7,"50000 - 250000"
83,7,"250000 - 500000"
84,7,"500000 - 1250000"
85,7,"1250000 - 2500000"
86,7,"2500000 - 5000000"
87,7,"5000000 a viac"
88,5,"0 - 1500"
89,5,"1500 - 3000"
90,5,"3000 - 15000"
91,5,"15000 - 30000"
92,5,"30000 - 70000"
93,5,"70000 - 150000"
94,5,"150000 - 300000"
95,5,"300000 a viac"
96,10,"0 - 1500"
97,10,"1500 - 3000"
98,10,"3000 - 15000"
99,10,"15000 - 30000"
100,10,"30000 - 70000"
101,10,"70000 - 150000"
102,10,"150000 - 300000"
103,10,"300000 a viac"
104,12,"0 - 1500"
105,12,"1500 - 3000"
106,12,"3000 - 15000"
107,12,"15000 - 30000"
108,12,"30000 - 70000"
111,12,"150000 - 300000"
110,12,"70000 - 150000"
112,12,"300000 a viac"
113,11,"0 - 500"
114,11,"500 - 1000"
115,11,"1000 - 5000"
116,11,"5000 - 10000"
117,11,"10000 - 25000"
118,11,"25000 - 50000"
119,11,"50000 - 100000"
120,11,"100000 a viac"



