"sid","verejny_cinnitel_sid","uzivatel_sid","ins_nazov","ins_sektor_podnikania","ins_podnikatelska_forma","ins_ico","adr_stat","adr_kraj","adr_okres","adr_obec","adr_ul_cislo","adr_psc","uca_nazov_pozicie","uca_vyska_honoraru","uca_mena","uca_obdobie_od","uca_obdobie_do","je_honorovana","poznamky","sektor_podnikania","podnikatelska_forma","stat","mena","vyska_honoraru"
4,14,18,"Lepšia Šaľa",2,3,"",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"predseda","","",2003,"",0,"","Neziskový","Občianske združenie","Slovensko",NULL,NULL
5,19,18,"Lepšia Šaľa",2,3,"",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"predseda","","",2003,"",0,"","Neziskový","Občianske združenie","Slovensko",NULL,NULL
3,13,13,"Košický samosprávny kraj",3,NULL,"",1,"Košický","Košice I","Košice","nám. Maratóna mieru 1",4266,"poslanec",1,1,"2006-1-9","",0,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
6,23,18,"Lepšia Šaľa",2,3,"",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"predseda","","",2003,"",0,"","Neziskový","Občianske združenie","Slovensko",NULL,NULL
7,13,13,"Národná rada Slovenskej republiky",3,NULL,"",1,"Bratislavský","Bratislava I","Bratislava","Námestie A.Dubčeka 1",81280,"poslanec",2,1,"2006-7-4","",0,"","Verejný",NULL,"Slovensko","SKK","12 000 - 60 000"
8,25,13,"Košický samosprávny kraj",3,"","",1,"Košický","Košice I","Košice","nám. Maratóna mieru 1",4266,"poslanec",1,1,"2006-1-9","",0,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
9,25,13,"Národná rada Slovenskej republiky",3,"","",1,"Bratislavský","Bratislava I","Bratislava","Námestie A.Dubčeka 1",81280,"poslanec",2,1,"2006-7-4","",0,"","Verejný",NULL,"Slovensko","SKK","12 000 - 60 000"
10,34,38,"Partnerstvá pre prosperitu",2,3,"307 88 587",1,"Bratislavský","Bratislava II","Bratislava","Jašíkova 2",82103,"prezident","","",2008,"",0,"výkon funkcie bez nároku na honorár","Neziskový","Občianske združenie","Slovensko",NULL,NULL
11,35,38,"Partnerstvá pre prosperitu",2,3,"307 88 587",1,"Bratislavský","Bratislava II","Bratislava","Jašíkova 2",82103,"prezident","","",2008,"",0,"výkon funkcie bez nároku na honorár","Neziskový","Občianske združenie","Slovensko",NULL,NULL
12,49,30,"Slovenská plavecká federácia",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Junácka 6",83280,"podpredseda ",1,1,2005,"",0,"","Neziskový","Občianske združenie","Slovensko","SKK","0 - 12 000"
13,50,30,"Slovenská plavecká federácia",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Junácka 6",83280,"podpredseda ",1,1,2005,"",0,"","Neziskový","Občianske združenie","Slovensko","SKK","0 - 12 000"
14,54,17,"Justičná revue",3,NULL,"",1,"Bratislavský","Bratislava","Bratislava","Župné nám. 13",81311,"člen redakčnej rady",1,1,1999,"",1,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
15,55,17,"Justičná revue",3,"","",1,"Bratislavský","Bratislava","Bratislava","Župné nám. 13",81311,"člen redakčnej rady",1,1,1999,"",1,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
16,56,17,"Justičná revue",3,"","",1,"Bratislavský","Bratislava","Bratislava","Župné nám. 13",81311,"člen redakčnej rady",1,1,1999,"",1,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
17,57,17,"Justičná revue",3,"","",1,"Bratislavský","Bratislava","Bratislava","Župné nám. 13",81311,"člen redakčnej rady",1,1,1999,"",1,"","Verejný",NULL,"Slovensko","SKK","0 - 12 000"
18,64,46,"Bratislavsky samospravny kraj",3,NULL,"",1,"Bratislavský","Bratislava","Bratislava II","Sabinovska 16",82005,"vicežupanka",31,3,"2006-7-11","",0,"","Verejný",NULL,"Slovensko","EUR","350 - 1 800"
19,65,46,"Bratislavsky samospravny kraj",3,"","",1,"Bratislavský","Bratislava","Bratislava II","Sabinovska 16",82005,"vicežupanka",31,3,"2006-7-11","",0,"","Verejný",NULL,"Slovensko","EUR","350 - 1 800"
281,848,78,"Európsky hospodársky a sociálny výbor",3,"","",16,"Banskobystrický","","Brusel","Rue Belliard 99-101","","Člen (radca)","","","2006-9","",0,"","Verejný",NULL,"Belgicko",NULL,NULL
22,69,55,"MPBH",1,7,3161230,1,"Banskobystrický","Zvolen","Zvolen","Unionky 54",96001,"člen DR",30,3,"2007-2-1","",1,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko","EUR","0 - 350"
23,74,55,"MPBH",1,7,3161230,1,"Banskobystrický","Zvolen","Zvolen","Unionky 54",96001,"člen DR",30,3,"2007-2-1","",1,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko","EUR","0 - 350"
