"sid","verejny_cinnitel_sid","uzivatel_sid","uda_nazov","uda_sektor_podnikania","uda_podnikatelska_forma","uda_ico","adr_stat","adr_kraj","adr_okres","adr_obec","adr_ul_cislo","adr_psc","cha_popis_funkcneho_pozitku","cha_vyjadrenie_hodnoty_pozitku","cha_obdobie_od","cha_obdobie_do","poznamky","je_fyzicka_osoba","sektor_podnikania","podnikatelska_forma","stat"
10,13,13,"Národná rada Slovenskej republiky",3,"","",1,"Bratislavský","Bratislava I","Bratislava","Námestie A.Dubčeka 1",81280,"notebook",40000,"2006-9","","",0,"Verejný",NULL,"Slovensko"
19,48,25,"Mesto Žilina",3,"","",1,"Žilinský","Žilina","Žilina","Námestie obetí komunizmu 1",1001,"odmena poslanca",5000,"2007-1-1","","",0,"Verejný",NULL,"Slovensko"
9,13,13,"Košický samosprávny kraj",3,"","",1,"Košický","Košice I","Košice","námestie maratónu mieru 1",4266,"notebook, telefón",40000,"2008-12-1","","",0,"Verejný",NULL,"Slovensko"
18,47,25,"Mesto Žilina",3,"","",1,"Žilinský","Žilina","Žilina","Námestie obetí komunizmu 1",1001,"odmena poslanca",5000,"2007-1-1","","",0,"Verejný",NULL,"Slovensko"
5,10,9,"Mrkvička Fero","","","",1,"Bratislavský","Bratislava","Bratislava","Páričkova 18",82108,"Mobilný telefón Nokia 6130","8000 Sk",2007,2007,"",1,NULL,NULL,"Slovensko"
6,11,14,"Žilinský samosprávny kraj",3,"","",1,"Žilinský","Žilina","Žilina","Komenského 48",1109,"auto, mobilný telefón, notebook","2,4 milióna Sk","2006-1-11","","",0,"Verejný",NULL,"Slovensko"
11,25,13,"Národná rada Slovenskej republiky",3,"","",1,"Bratislavský","Bratislava I","Bratislava","Námestie A.Dubčeka 1",81280,"notebook",40000,"2006-9","","",0,"Verejný",NULL,"Slovensko"
12,25,13,"Košický samosprávny kraj",3,"","",1,"Košický","Košice I","Košice","námestie maratónu mieru 1",4266,"notebook, telefón",40000,"2008-12-1","","",0,"Verejný",NULL,"Slovensko"
13,34,38,"Mesto Stupava",3,"","",1,"Bratislavský","Malacky","Stupava","Hlavná",90031,"odmena za výkon funkcie poslanca","21.000,- Sk","2007-1-1","","",0,"Verejný",NULL,"Slovensko"
14,35,38,"Mesto Stupava",3,"","",1,"Bratislavský","Malacky","Stupava","Hlavná",90031,"odmena za výkon funkcie poslanca","21.000,- Sk","2007-1-1","","",0,"Verejný",NULL,"Slovensko"
15,40,9,"Mrkvička Fero","","","",1,"Bratislavský","Bratislava","Bratislava","Páričkova 18",82108,"Mobilný telefón Nokia 6130","8000 Sk",2007,2007,"",1,NULL,NULL,"Slovensko"
16,36,41,"Mesto Martin",3,"","",1,"Žilinský","Martin","Martin","Vajanského námestie1",3601,"telefón,notebook","30 000","2006-12-20","","",0,"Verejný",NULL,"Slovensko"
17,46,41,"Mesto Martin",3,"","",1,"Žilinský","Martin","Martin","Vajanského námestie1",3601,"telefón,notebook","30 000","2006-12-20","","",0,"Verejný",NULL,"Slovensko"
20,49,30,"Slovenská plavecká federácia",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Junácka 6",83280,"mobilný telefón",5.000,2008,"","mobilný telefón dočasne poskytnutý výlučne pre výkon funkcie v Slovenskej plaveckej federácii ",0,"Neziskový","Občianske združenie","Slovensko"
21,50,30,"Slovenská plavecká federácia",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Junácka 6",83280,"mobilný telefón",5.000,2008,"","mobilný telefón dočasne poskytnutý výlučne pre výkon funkcie v Slovenskej plaveckej federácii ",0,"Neziskový","Občianske združenie","Slovensko"
22,79,13,"Národná rada Slovenskej republiky",3,"","",1,"Bratislavský","Bratislava I","Bratislava","Námestie A.Dubčeka 1",81280,"notebook",40000,"2006-9","","",0,"Verejný",NULL,"Slovensko"
23,79,13,"Košický samosprávny kraj",3,"","",1,"Košický","Košice I","Košice","námestie maratónu mieru 1",4266,"notebook, telefón",40000,"2008-12-1","","",0,"Verejný",NULL,"Slovensko"
24,86,42,"Národná rada SR",3,"","",1,"Bratislavský","Bratislava","Bratislava","","","notebook",40000,"2006-7","","",0,"Verejný",NULL,"Slovensko"
25,86,42,"Žilinský samosprávny kraj",3,"","",1,"Žilinský","Žilina","Žilina","","","notebook",30000,2007,"","",0,"Verejný",NULL,"Slovensko"
26,88,42,"Národná rada SR",3,"","",1,"Bratislavský","Bratislava","Bratislava","","","notebook",40000,"2006-7","","",0,"Verejný",NULL,"Slovensko"
27,88,42,"Žilinský samosprávny kraj",3,"","",1,"Žilinský","Žilina","Žilina","","","notebook",30000,2007,"","",0,"Verejný",NULL,"Slovensko"
28,89,59,"Združenie podnikateľov Slovenska",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Cukrová 14",81339,"telefón","250 EUR",2009,"","",0,"Neziskový","Občianske združenie","Slovensko"
29,90,59,"Združenie podnikateľov Slovenska",2,3,"",1,"Bratislavský","Bratislava","Bratislava","Cukrová 14",81339,"telefón","250 EUR",2009,"","",0,"Neziskový","Občianske združenie","Slovensko"
30,371,346,"Bratislavský samosprávny kraj",3,"","",1,"Bratislavský","Bratislava","Bratislava","Sabinovská 16",82005,"mobilný telefón s paušálom","telefón a paušál","2006-1-1","","",0,"Verejný",NULL,"Slovensko"
31,371,346,"Bratislavský samosprávny kraj",3,"","",1,"Bratislavský","Bratislava","Bratislava","Sabinovská 16",82005,"notebook","660,- Eur","2006-1","","",0,"Verejný",NULL,"Slovensko"
32,373,346,"Bratislavský samosprávny kraj",3,"","",1,"Bratislavský","Bratislava","Bratislava","Sabinovská 16",82005,"mobilný telefón s paušálom","telefón a paušál","2006-1-1","","",0,"Verejný",NULL,"Slovensko"
33,373,346,"Bratislavský samosprávny kraj",3,"","",1,"Bratislavský","Bratislava","Bratislava","Sabinovská 16",82005,"notebook","660,- Eur","2006-1","","",0,"Verejný",NULL,"Slovensko"
34,169,142,"UIPŠ",3,"","",1,"Bratislavský","Bratislava","Bratislava","Staré Grunty 52",83101,"Mobil, Notebook-komplet",500,"2008-1-1","","",0,"Verejný",NULL,"Slovensko"
35,393,142,"UIPŠ",3,"","",1,"Bratislavský","Bratislava","Bratislava","Staré Grunty 52",83101,"Mobil, Notebook-komplet",500,"2008-1-1","","",0,"Verejný",NULL,"Slovensko"
36,394,142,"UIPŠ",3,"","",1,"Bratislavský","Bratislava","Bratislava","Staré Grunty 52",83101,"Mobil, Notebook-komplet",500,"2008-1-1","","",0,"Verejný",NULL,"Slovensko"
