sid,verejny_cinnitel_sid,uzivatel_sid,"znacka","rok_vyroby",pocet_kilometrov,rok_nadobudnutia,"sposob_nadobudnutia","nadobudacia_hodnota","mena","typ_vlastnictva","rok_predaja","poznamky"
4,19,18,"Renault","2004",115000,2007,"2","300000","1","2",NULL,""
3,14,18,"Renault","2004",115000,2007,"2","300000","1","2","",""
5,11,14,"Hyundai Tuscon","2007",50000,2007,"2","600000","1","1","",""
6,20,24,"FIAT Punto","2003",48000,2003,"2","395000","1","1","",""
7,21,24,"FIAT Punto","2003",48000,2003,"2","395000","1","1",NULL,""
8,22,24,"FIAT Punto","2003",48000,2003,"2","395000","1","1",NULL,""
9,23,18,"Renault","2004",115000,2007,"2","300000","1","2",NULL,""
10,13,13,"Toyota Yaris","2007",10000,2007,"2","430000","1","1","",""
11,25,13,"Toyota Yaris","2007",10000,2007,"2","430000","1","1",NULL,""
26,47,25,"Opel astra","1998",60000,2005,"2","180000","1","2","",""
13,26,39,"TOYOTA RAW 4","2003",60000,2003,"2","1000000","1","2","",""
14,27,39,"TOYOTA RAW 4","2003",60000,2003,"2","1000000","1","2",NULL,""
15,28,39,"TOYOTA RAW 4","2003",60000,2003,"2","1000000","1","2",NULL,""
16,38,37,"Škoda Favorit","1993",115000,1993,"2","150000","1","1","",""
17,39,37,"Škoda Favorit","1993",115000,1993,"2","150000","1","1",NULL,""
18,42,26,"Škoda fabia combi","2001",85000,2001,"2","495000","1","2","",""
19,43,26,"Škoda fabia combi","2001",85000,2001,"2","495000","1","2",NULL,""
20,41,27,"SUZUKI","2000",75000,2003,"2","250000","1","1","",""
21,41,27,"MECEDES A","2002",125000,2005,"2","350000","1","1","","Moja s.r.o. vlastní ešte osobné vozidlo Volkswagen TOURAN, r.v. 2004, zakúpené do s.r.o. v decembri 2007 nadobúdacia cena 500000 Sk, počet najazdených kilometrov 40000."
22,45,27,"SUZUKI","2000",75000,2003,"2","250000","1","1",NULL,""
