sid,verejny_cinnitel_sid,uzivatel_sid,"hnutelny_majetok_suhrn","hnutelny_majetok_rok","hnutelny_majetok_suhrna_hodnota"
11,16,29,"0","2008","100000"
12,17,29,"0","2008","50000"
15,11,14,"600000","2008","500000"
14,19,18,"800000","2008","800000"
13,18,29,"0","2008","100000"
10,14,18,"800000","2008","800000"
9,10,9,"500000","2008","100000"
16,20,24,"500000","2008","105000"
17,21,24,"500000","2008","105000"
18,22,24,"500000","2008","105000"
19,23,18,"800000","2008","800000"
20,13,13,"750000","2007","350000"
21,25,13,"750000","2007","350000"
50,47,25,"900000","2008","300000"
23,26,39,"1500000","2007","3000000"
24,26,39,"0","2008","0"
25,27,39,"1500000","2007","3000000"
26,27,39,"0","2008","0"
27,28,39,"1500000","2007","3000000"
28,28,39,"0","2008","0"
29,29,34,"500000","2008","40000"
30,30,34,"500000","2008","40000"
31,31,34,"500000","2008","40000"
32,24,28,"100000","2008","100000"
33,32,28,"100000","2008","100000"
34,33,28,"100000","2008","100000"
35,34,38,"2000000","2008","1000000"
36,35,38,"2000000","2008","1000000"
37,37,32,"173302","2002","533000"
38,38,37,"230000","2007","170000"
39,38,37,"0","2008","0"
40,39,37,"230000","2007","170000"
41,39,37,"0","2008","0"
42,40,9,"500000","2008","100000"
43,42,26,"400000","2008","300000"
44,43,26,"400000","2008","300000"
45,44,32,"173302","2002","533000"
46,41,27,"500000","2008","0"
47,45,27,"500000","2008","0"
48,36,41,"3600000","2009","2000000"
49,46,41,"2600000","2008","1000000"
51,48,25,"900000","2008","300000"
52,49,30,"100000","2008","100000"
53,50,30,"100000","2008","100000"
54,52,35,"400000","2008","400000"
55,53,35,"400000","2008","400000"
56,54,17,"600000","2007","200"
57,55,17,"600000","2007","200"
58,56,17,"600000","2007","200"
59,57,17,"600000","2007","200"
60,58,40,"2150000","2008","1650000"
61,60,40,"2150000","2008","1650000"
62,61,48,"800000","2009","800000"
63,62,48,"800000","2009","800000"
64,63,40,"2150000","2008","1650000"
65,64,46,"20000000","2009","5000000"
66,65,46,"20000000","2009","5000000"
864,848,78,"6500000","2010","5250000"
69,70,61,"100000","2009","2000000"
70,71,61,"100000","2009","2000000"
71,72,60,"500000","2009","500000"
72,73,60,"500000","2009","500000"
73,69,55,"1700000","2009","1700000"
74,74,55,"200000","2009","200000"
77,79,13,"750000","2007","350000"
78,80,54,"200000","2009","15000"
79,81,54,"200000","2009","15000"
82,84,63,"450000","2009","100000"
83,86,42,"2550000","2008","1900000"
84,88,42,"2550000","2008","1900000"
85,89,59,"5500000","2009","5000000"
86,90,59,"5500000","2009","5000000"
87,87,52,"492000","2009","492000"
88,91,52,"492000","2009","492000"
89,75,62,"100000","2009","0"
90,92,62,"50000","2009","0"
91,94,67,"2000000","2009","2000000"
92,96,69,"100000","2009","30000"
93,97,69,"100000","2009","30000"
95,371,346,"550000","2009","100000"
96,373,346,"550000","2009","100000"
97,149,122,"0","2009","0"
98,374,122,"0","2009","0"
101,203,177,"300000","2009","0"
102,376,177,"300000","2009","0"
103,136,109,"60000","2009","60000"
104,377,109,"60000","2009","60000"
105,137,110,"auto","2009","300000"
106,378,110,"auto","2009","300000"
107,153,126,"370000","2009","300000"
108,168,141,"150000","2008","300000"
109,379,141,"150000","2008","300000"
110,380,126,"370000","2009","300000"
111,139,112,"350000","2009","150000"
112,228,202,"510000","2009","60000"
113,381,202,"510000","2009","60000"
114,159,132,"50000","2009","60000"
115,382,132,"50000","2009","60000"
116,186,159,"600000","2009","100000"
117,244,218,"500000","2009","150000"
118,325,299,"12000","2008","12000"
119,359,333,"30000","2009","30000"
120,383,333,"30000","2009","30000"
121,361,335,"120000","2009","20000"
122,269,243,"400000","2009","400000"
123,384,335,"120000","2009","20000"
124,385,243,"400000","2009","400000"
125,120,93,"40000","2009","6000"
855,839,72,"30000","2009","30000"
127,386,93,"40000","2009","6000"
128,256,230,"500000","2009","100000"
129,387,230,"500000","2009","100000"
130,350,324,"103000","2009","103000"
131,388,324,"103000","2009","103000"
132,205,179,"500000","2008","200000"
133,106,78,"6500000","2010","5250000"
134,389,179,"500000","2008","200000"
135,390,299,"12000","2008","12000"
136,358,332,"50000","2009","5000"
137,391,332,"50000","2009","5000"
138,392,332,"50000","2009","5000"
139,169,142,"200000","2009","50000"
140,393,142,"500000","2008","150000"
141,394,142,"500000","2008","150000"
142,395,142,"500000","2008","150000"
143,273,247,"600000","2009","300000"
144,396,247,"600000","2009","300000"
145,138,111,"0","2009","0"
146,397,111,"0","2009","0"
147,204,178,"100000","2009","100000"
148,398,178,"100000","2009","100000"
149,271,245,"200000","2009","200000"
150,399,245,"200000","2009","200000"
151,296,270,"1 200 000","2010","100 000"
152,400,270,"500000","2009","100000"
153,206,180,"1000000","2009","600000"
154,356,330,"9000","2009","9000"
155,401,180,"1000000","2009","600000"
156,402,330,"9000","2009","9000"
157,403,112,"250000","2009","150000"
158,404,180,"1000000","2009","600000"
159,129,102,"600000","2009","300000"
160,319,293,"1000000","2009","1000000"
161,405,293,"1000000","2009","1000000"
162,406,102,"600000","2009","300000"
165,176,149,"250000","2009","100000"
166,408,149,"250000","2009","100000"
167,328,302,"0","2009","0"
168,410,302,"0","2009","0"
169,409,351,"100000","2009","100000"
170,411,351,"1000","2009","1000"
174,143,116,"650000","2009","150000"
175,414,116,"500000","2009","150000"
