sid,verejny_cinnitel_sid,uzivatel_sid,"popis","sposob_nadobudnutia","rok_nadobudnutia","typ_vlastnictva","rok_zaniku",suma,"mena","obdobie","podiel","poznamky"
4,14,18,"2","2","2005","1","",460000,"1","17 r.","",""
3,14,18,"2","2","2008","1","",440000,"1","25 r.","",""
5,19,18,"2","2","2005","1","",460000,"1","17 r.","",""
6,19,18,"2","2","2008","1","",440000,"1","25 r.","",""
7,23,18,"2","2","2005","1","",460000,"1","17 r.","",""
8,23,18,"2","2","2008","1","",440000,"1","25 r.","",""
9,13,13,"2","2","2007","1","",150000,"1","2008","50",""
10,25,13,"2","2","2007","1","",250000,"1","2007","50",""
11,34,38,"2","2","2002","1","",2000000,"1","2002","1/2",""
12,35,38,"2","2","2002","1","",2000000,"1","2002","1/2",""
13,36,41,"2","2","2006","1","2006",3000000,"1","2006-2036","1/2","hypotekárny úver"
14,36,41,"1","1","2007","1","",360000,"1","2007","",""
15,36,41,"2","2","2005","1","",300000,"1","2006-2012","","stavebný úver"
16,36,41,"2","2","2007","1","",1200000,"1","2007-2012","","úver na kúpu auta"
17,46,41,"2","2","2006","1","2006",3000000,"1","2006-2036","1/2","hypotekárny úver"
18,46,41,"1","1","2007","1","",360000,"1","2007","",""
19,46,41,"2","2","2005","1","",300000,"1","2006-2012","","stavebný úver"
20,46,41,"2","2","2007","1","",1200000,"1","2007-2012","","úver na kúpu auta"
21,49,30,"2","2","2008","1","",2500000,"1","20 rokov","",""
22,50,30,"2","2","2008","1","",2500000,"1","20 rokov","",""
23,54,17,"2","2","2003","2","",2500000,"1","20 rokov","1/1","rok zaniknutia 2023"
24,54,17,"2","2","2006","2","",10000,"1","mesačne","","rok zániku 2009"
25,55,17,"2","2","2003","2","",2500000,"1","20 rokov","1/1","rok zaniknutia 2023"
26,55,17,"2","2","2006","2","",10000,"1","mesačne","","rok zániku 2009"
27,56,17,"2","2","2003","2","",2500000,"1","20 rokov","1/1","rok zaniknutia 2023"
