sid,verejny_cinnitel_sid,uzivatel_sid,"uda_popis_nehnutelnosti","uda_sposob_nadobudnutia",uda_mam_nehnutelnost_prijem,uda_vymera,"uda_cislo_parcely","uda_cislo_lv","uda_rok_nadobudnutia",uda_nadobudacia_hodnota,"uda_mena","uda_trhova_hodnota_rok",uda_trhova_hodnota_odhad,"uda_trhova_hodnota_mena","uda_typ_vlastnictva","uda_podiel","uda_rok_predaja","adr_stat","adr_kraj","adr_okres","adr_obec","poznamky"
4,14,18,"2","2",0,78,"916/3","5474","1998",650000,"1","2008",1500000,"1","1","1/2","","1","Nitrianský","Šaľa","Šaľa",""
149,47,25,"2","4",0,56,"6298","6189","2000",18000,"1","2008",1800000,"1","2","100","","1","Žilinský","Žilina","Žilina",""
5,16,29,"2","2",0,53,"1472/100","1519","1999",865298,"1","",NULL,"","1","1/2","","1","Žilinský","Žilina","Žilina",""
6,16,29,"9","4",0,2862,"2268","3205","2002",300000,"1","",NULL,"","1","1/4","","1","Žilinský","Bytča","Bytča","dar manželkiných starých rodičov"
7,17,29,"2","2",0,53,"1472/100","1519","1999",865298,"1",NULL,NULL,"","1","1/2",NULL,"1","Žilinský","Žilina","Žilina",""
8,17,29,"9","4",0,2862,"2268","3205","2002",300000,"1",NULL,NULL,"","1","1/4",NULL,"1","Žilinský","Bytča","Bytča","dar manželkiných starých rodičov"
9,18,29,"2","2",0,53,"1472/100","1519","1999",865298,"1",NULL,NULL,"","1","1/2",NULL,"1","Žilinský","Žilina","Žilina",""
10,18,29,"9","4",0,2862,"2268","3205","2002",300000,"1",NULL,NULL,"","1","1/4",NULL,"1","Žilinský","Bytča","Bytča","dar manželkiných starých rodičov"
11,19,18,"2","2",0,78,"916/3","5474","1998",650000,"1","2008",1500000,"1","1","1/2",NULL,"1","Nitrianský","Šaľa","Šaľa",""
12,11,14,"13","3",0,100,"483/3","2554","2004",3000000,"1","",NULL,"","1","100","","1","Žilinský","Žilina","Žilina",""
13,11,14,"21","2",0,500,"483/1","2508","2002",100000,"1","",NULL,"","1","100","","1","Žilinský","Žilina","Žilina",""
14,11,14,"22","2",0,100,"483/3","2508","2002",100000,"1","",NULL,"","1","100","","1","Žilinský","Žilina","Žilina",""
15,20,24,"2","2",0,82,"2222","3333","1995",15000,"1","2007",1500000,"1","1","1/2","","1","Žilinský","Žilina","Žilina","odkúpenie štátneho bytu do OV "
16,21,24,"2","2",0,82,"2222","3333","1995",15000,"1","2007",1500000,"1","1","1",NULL,"1","Žilinský","Žilina","Žilina","odkúpenie štátneho bytu do OV "
17,22,24,"2","2",0,82,"2222","3333","1995",15000,"1","2007",1500000,"1","1","1/2",NULL,"1","Žilinský","Žilina","Žilina","odkúpenie štátneho bytu do OV "
18,23,18,"2","2",0,78,"916/3","5474","1998",650000,"1","2008",1500000,"1","1","1/2",NULL,"1","Nitrianský","Šaľa","Šaľa",""
19,13,13,"13","3",0,180,"4699/84","14624","1999",4000000,"1","2007",7000000,"1","1","50","","1","Košický","Košice II","Košice",""
20,13,13,"17","1",0,405,"4699/84","8565","1996",400000,"1","2007",800000,"1","2","100","","1","Košický","Košice II","Košice",""
21,25,13,"13","3",0,180,"4699/84","14624","1999",4000000,"1","2007",7000000,"1","1","50",NULL,"1","Košický","Košice II","Košice",""
22,25,13,"17","1",0,405,"4699/84","8565","1996",400000,"1","2007",800000,"1","2","100",NULL,"1","Košický","Košice II","Košice",""
23,26,39,"13","3",0,250,"1813/171","3532","1990",4000000,"1","2008",3000000,"1","3","1/2-ica","","1","Prešovský","Snina","Snina","vlastníctvo iné: Dohoda o vysporiadaní BSM "
24,26,39,"13","3",0,250,"1062/10","1150","2006",3000000,"1","2008",5000000,"1","3","1/2-ica","","1","Prešovský","Snina","Zemplínske Hámre","podielové spoluvlastníctvo s partnerom"
25,26,39,"6","3",0,50,"1062/11","1150","2000",50000,"1","2008",100000,"1","3","1/2-ica","","1","Prešovský","Snina","Zemplínske Hámre","podielové spoluvlastníctvo s partnerom"
26,26,39,"17","2",0,200,"37/215","6455","2002",160000,"1","2008",400000,"1","3","1/2-ica","","1","Prešovský","Snina","Snina",""
27,26,39,"17","2",0,348,"1813/171","3532","1990",1000,"1","2008",174000,"1","3","1/2-ica","","1","Prešovský","Snina","Snina",""
28,26,39,"10","2",0,35,"1813/215","3532","1990",200,"1","2008",17000,"1","3","1/2-ica","","1","Prešovský","Snina","Snina",""
29,26,39,"10","2",0,86,"1813/218","3532","1990",200,"1","2008",43000,"1","3","1/2-ica","","1","Banskobystrický","Snina","Snina","pozemky v Snine okrem parc.37/215 boli nadobúdané do osobného užívania, takže nadobúdacie hodnoty sú pri dnešných cenách veľmi nízke"
30,26,39,"9","2",0,422,"1062/3","1150","2007",39246,"1","2008",40000,"1","3","1/2-ica","","1","Prešovský","Snina","Zemplínske Hámre",""
31,26,39,"9","2",0,1696,"1062/4","1150","2007",157728,"1","2008",160000,"1","3","1/2-ica","","1","Prešovský","Snina","Zemplínske Hámre",""
