sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
64,39,28,"poslanec MsZ Snina","2006","","nezávislý"
65,39,28,"poslanec MsZ Snina","2002","2006","nezávislý"
63,39,27,"poslanec MsZ Snina","2002","2006","nezávislý"
52,29,18,"poslanec Mestského zastupiteľstva v Žiline","2007","","SDKU-DS"
51,29,18,"poslanec Mestského zastupiteľstva v Žiline","2003","2007","SDKU-KDH-OKS"
50,29,16,"poslanec Mestského zastupiteľstva v Žiline","2003","2007","SDKU-KDH-OKS"
49,29,17,"poslanec Mestského zastupiteľstva v Žiline","2003","","SDKU-DS"
48,29,16,"poslanec Mestského zastupiteľstva v Žiline","2007","","SDKU-DS"
62,39,27,"poslanec MsZ Snina","2006","","nezávislý"
61,39,26,"poslanec MsZ Snina","2006","","nezávislý"
60,39,26,"poslanec MsZ Snina","2002","2006","nezávislý"
59,13,25,"poslanec NR SR","2008","","KDH"
58,28,24,"poslanec mestskeho zastupiteľstva","2007","","SDKÚ"
57,18,23,"zástupca primátora","2007","","SDKU-DS+KDH"
56,24,22,"poslanec mestského zastupiteľstva mesta Žilina","2007","","SDKÚ-DS"
55,24,21,"poslanec mestského zastupiteľstva mesta Žilina","2007","","SDKÚ-DS"
54,24,20,"poslanec mestského zastupiteľstva mesta Žilina","2007","","SDKÚ-DS"
53,18,19,"zástupca primátora","2007","","SDKU-DS+KDH"
47,18,14,"zástupca primátora","2007","","SDKU-DS+KDH"
46,21,15,"člen miestneho predsedníctva Dúbravka","2007","","SDKU"
45,13,13,"poslanec NR SR","2008","","KDH"
84,25,47,"Poslanec mestského zastupiteľstva Žilina","2007","","SDKÚ-DS"
43,14,11,"predseda Žilinského samosprávneho kraja","2005","","SMER-SD-SNS-HZD-ANO"
42,9,10,"Bez politickej funkcie","","","Občiansky  kandidát"
66,34,29,"poslankyňa MZ","2007","","SDKÚ-DS"
67,34,30,"poslankyňa MZ","2007","","SDKÚ-DS"
68,34,31,"poslankyňa MZ","2007","","SDKÚ-DS"
69,28,32,"poslanec mestskeho zastupiteľstva","2007","","SDKÚ"
70,28,33,"poslanec mestskeho zastupiteľstva","2007","","SDKÚ"
71,38,34,"poslanec MsZ","2006","","nezávislý"
72,38,35,"poslanec MsZ","2006","","nezávislý"
73,41,36,"primátor","2006","","Nezávislý kandidát"
74,32,37,"Poslankyňa Mestského zastupiteľstva","2007","","SDKÚ - DS   "
75,37,38,"poslanec mestského zastupiteľstva v Žiline","2007","","SDKÚ -DS"
76,37,39,"poslanec mestského zastupiteľstva v Žiline","2007","","SDKÚ -DS"
77,9,40,"Poslanec NRSR","2002","","Ľudová strana - Hnutie za demokratické slovensko"
78,27,41,"poslanec mestského zastupiteľstva v Žiline","1993","","nezavislý na kanditátke SDKU"
