"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
26,29,16,"NEKA","",2003,2007,NULL,"Nezávislý kandidát"
25,29,17,"NEKA","",2003,"","","Nezávislý kandidát"
18,14,11,"SMER","člen strany",2000,"",NULL,"SMER - sociálna demokracia"
64,25,47,"SDKÚ-DS","pokladník Miestneho zväzu Žilina",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
20,13,13,"KDS","zakladajúci člen",2008,"",NULL,"Konzervatívni demokrati Slovenska"
21,18,14,"SDKÚ-DS","člen",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
22,18,14,"DSS","podpredseda strany",2003,2006,NULL,"Demokratická strana Slovenska"
24,29,16,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
23,21,15,"SDKÚ-DS","člen miestneho predsedníctva Dúbravka",2004,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
17,14,11,"SMER","krajský predseda",2002,"",NULL,"SMER - sociálna demokracia"
16,9,10,"Nečlen","Bez funkcie","","",NULL,"Nie som členom žiadnej strany"
27,29,18,"NEKA","",2003,2007,"","Nezávislý kandidát"
28,29,18,"NEKA","",2007,"","","Nezávislý kandidát"
29,18,19,"SDKÚ-DS","člen",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
30,18,19,"DSS","podpredseda strany",2003,2006,"","Demokratická strana Slovenska"
31,24,20,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
32,24,21,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
33,24,22,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
34,18,23,"SDKÚ-DS","člen",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
35,18,23,"DSS","podpredseda strany",2003,2006,"","Demokratická strana Slovenska"
36,28,24,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
37,13,25,"KDH","člen",2008,"","","Kresťanskodemokratické hnutie"
38,39,26,"NEKA","žiadne",2006,"",NULL,"Nezávislý kandidát"
39,39,26,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
40,39,27,"NEKA","žiadne",2006,"","","Nezávislý kandidát"
41,39,27,"NEKA","",2008,"","","Nezávislý kandidát"
42,39,28,"NEKA","žiadne",2006,"","","Nezávislý kandidát"
43,39,28,"NEKA","",2008,"","","Nezávislý kandidát"
44,34,29,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
45,34,30,"NEKA","",2007,"","","Nezávislý kandidát"
46,34,31,"NEKA","",2007,"","","Nezávislý kandidát"
47,28,32,"NEKA","",2008,"","","Nezávislý kandidát"
48,28,33,"NEKA","",2008,"","","Nezávislý kandidát"
49,38,34,"NEKA","",2006,"",NULL,"Nezávislý kandidát"
50,38,35,"NEKA","",2006,"","","Nezávislý kandidát"
51,32,37,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
52,37,38,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
53,37,38,"NEKA","bez funkcie",2007,"",NULL,"Nezávislý kandidát"
54,37,39,"NEKA","",2007,"","","Nezávislý kandidát"
55,37,39,"NEKA","bez funkcie",2007,"","","Nezávislý kandidát"
56,9,40,"ASV","Člen strany",2002,"","","Agrárna strana vidieka"
57,27,41,"NEKA","bez funkcie",2004,"",NULL,"Nezávislý kandidát"
58,26,42,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
59,26,43,"NEKA","",2008,"","","Nezávislý kandidát"
60,32,44,"NEKA","",2007,"","","Nezávislý kandidát"
61,27,45,"NEKA","bez funkcie",2004,"","","Nezávislý kandidát"
62,41,36,"NEKA","",2006,"",NULL,"Nezávislý kandidát"
63,41,46,"NEKA","",2006,"","","Nezávislý kandidát"
65,25,48,"SDKÚ-DS","pokladník Miestneho zväzu Žilina",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
66,30,49,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2008,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
67,30,49,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
68,30,50,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
69,30,50,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
70,33,51,"SDKÚ-DS","nečlen",2002,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
71,35,52,"NEKA","-",2007,"",NULL,"Nezávislý kandidát"
72,35,53,"NEKA","-",2007,"","","Nezávislý kandidát"
73,17,54,"KDH","podpredseda",2007,"",NULL,"Kresťanskodemokratické hnutie"
74,17,55,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
75,17,56,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
76,17,57,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
77,40,58,"SDKÚ-DS","podpredsedníčka",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
78,44,59,"NEKA","žiadna","","",NULL,"Nezávislý kandidát"
79,40,60,"SDKÚ-DS","podpredsedníčka",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
80,48,61,"SF","Predsedníčka strany",2004,"",NULL,"Slobodné fórum"
81,48,61,"SF","Predsedkníčka strany",2004,"",NULL,"Slobodné fórum"
82,48,62,"SF","Predsedníčka strany",2004,"","","Slobodné fórum"
83,48,62,"SF","Predsedkníčka strany",2004,"","","Slobodné fórum"
84,40,63,"SDKÚ-DS","podpredsedníčka",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
85,46,64,"SMER","Zakladajúci člen",1999,"",NULL,"SMER - sociálna demokracia"
86,46,65,"SMER","Zakladajúci člen",1999,"","","SMER - sociálna demokracia"
928,78,848,"SaS","Člen republikovej rady, tímlíder pre vzťahy s EÚ",2009,"","","Sloboda a Solidarita"
90,55,69,"SZ","člen",2008,"",NULL,"Strana zelených"
91,61,70,"SaS","zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
92,61,71,"SaS","zakladajúci člen",2009,"","","Sloboda a Solidarita"
93,60,72,"SaS","Podpredseda pre ekonomiku, člen Republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
94,60,73,"SaS","Podpredseda pre ekonomiku, člen Republikovej rady",2009,"","","Sloboda a Solidarita"
95,55,74,"SZ","člen",2008,"","","Strana zelených"
96,62,75,"SZ","členka predsedníctva",2007,"",NULL,"Strana zelených"
98,45,77,"KDH","poslanec EP",2004,"",NULL,"Kresťanskodemokratické hnutie"
99,56,78,"OKS","člen",2005,"",NULL,"Občianska konzervatívna strana"
100,13,79,"KDS","zakladajúci člen",2008,"","","Konzervatívni demokrati Slovenska"
101,54,80,"SZ","nezávislá kandidátka","","",NULL,"Strana zelených"
102,54,81,"SZ","nezávislá kandidátka","","","","Strana zelených"
104,58,83,"SMER","člen strany","","",NULL,"SMER - sociálna demokracia"
105,63,84,"SaS","zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
107,42,86,"SDKÚ-DS","predseda MZ",2009,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
108,52,87,"Nečlen","žiadna (nestraníčka)","","",NULL,"Nie som členom žiadnej strany"
109,42,88,"SDKÚ-DS","predseda MZ",2009,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
110,59,89,"SaS","","","",NULL,"Sloboda a Solidarita"
111,59,90,"SaS","","","","","Sloboda a Solidarita"
112,52,91,"Nečlen","žiadna (nestraníčka)","","","","Nie som členom žiadnej strany"
113,62,92,"SZ","členka predsedníctva",2007,"","","Strana zelených"
114,67,94,"SaS","Tímlíder pre oblasť boja proti korupcii, zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
115,22,95,"NEKA","","","",NULL,"Nezávislý kandidát"
116,69,96,"KDH","člen krajskej rady",2006,"",NULL,"Kresťanskodemokratické hnutie"
117,69,97,"KDH","člen krajskej rady",2006,"","","Kresťanskodemokratické hnutie"
118,346,371,"ĽS-HZDS","predseda poslaneckého klubu",1993,1994,NULL,"Ľudová strana - Hnutie za demokratické Slovensko"
119,346,371,"DÚ","predseda miestnej organizácie",1994,2003,NULL,"Demokratická únia Slovenska"
121,346,373,"ĽS-HZDS","predseda poslaneckého klubu",1993,1994,"","Ľudová strana - Hnutie za demokratické Slovensko"
122,346,373,"DÚ","predseda miestnej organizácie",1994,2003,"","Demokratická únia Slovenska"
124,109,136,"DÚ","člen (do zániku DU fúziou s SDKÚ-DS)",1997,2000,NULL,"Demokratická únia Slovenska"
125,122,149,"SaS","Koordinátor v meste Piešťany",2009,"",NULL,"Sloboda a Solidarita"
126,109,136,"ANO","asistent, krajská kancelária (Prešov)",2001,2005,NULL,"Aliancia nového občana"
127,109,136,"SaS","člen republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
128,122,374,"SaS","Koordinátor v meste Piešťany",2009,"","","Sloboda a Solidarita"
129,89,116,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
131,177,203,"SaS","nie som členom strany",2009,"",NULL,"Sloboda a Solidarita"
132,194,220,"SaS","","","",NULL,"Sloboda a Solidarita"
133,177,376,"SaS","nie som členom strany",2009,"","","Sloboda a Solidarita"
134,110,137,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
135,128,155,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"",NULL,"Sloboda a Solidarita"
136,128,155,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"",NULL,"Sloboda a Solidarita"
137,126,153,"SaS","okresný líder Dolný Kubín",2009,"",NULL,"Sloboda a Solidarita"
138,109,377,"DÚ","člen (do zániku DU fúziou s SDKÚ-DS)",1997,2000,"","Demokratická únia Slovenska"
139,109,377,"ANO","asistent, krajská kancelária (Prešov)",2001,2005,"","Aliancia nového občana"
140,109,377,"SaS","člen republikovej rady",2009,"","","Sloboda a Solidarita"
141,110,378,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
142,141,168,"SaS","Žiadna, sympatizant","","",NULL,"Sloboda a Solidarita"
143,133,160,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
144,112,139,"SaS","člen Republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
145,141,379,"SaS","Žiadna, sympatizant","","","","Sloboda a Solidarita"
146,202,228,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
147,100,127,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
148,126,380,"SaS","okresný líder Dolný Kubín",2009,"","","Sloboda a Solidarita"
149,99,126,"SaS","zakladajúci člen strany",2009,"",NULL,"Sloboda a Solidarita"
150,117,144,"SaS","okresný šéf za Trenčín",2009,"",NULL,"Sloboda a Solidarita"
923,384,843,"Nečlen","","","","","Nie som členom žiadnej strany"
152,202,381,"Nečlen","","","","","Nie som členom žiadnej strany"
153,127,154,"SaS","konzultant verejných financií a finančného trhu",2009,"",NULL,"Sloboda a Solidarita"
