"sid","verejny_cinnitel_sid","uzivatel_sid","zam_nazov","zam_sektor_podnikania","zam_podnikatelska_forma","zam_ico","zam_obdobie_od","zam_obdobie_do","adr_stat","adr_kraj","adr_okres","adr_obec","adr_ul_cislo","adr_psc","poznamky","sektor_podnikania","podnikatelska_forma","stat"
1,16,29,"Informačné centrum podnikateľov",1,7,31613942,"2008-1-1","",1,"Žilinský","Žilina","Žilina","Martina Rázusa 23A",1001,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
2,17,29,"Informačné centrum podnikateľov",1,7,31613942,"2008-1-1","",1,"Žilinský","Žilina","Žilina","Martina Rázusa 23A",1001,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
3,18,29,"Informačné centrum podnikateľov",1,7,31613942,"2008-1-1","",1,"Žilinský","Žilina","Žilina","Martina Rázusa 23A",1001,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
4,14,18,"Jozef Mečiar - meco",1,15,34758861,"1997-1-1","",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"","Podnikateľský","Živnostník","Slovensko"
5,19,18,"Jozef Mečiar - meco",1,15,34758861,"1997-1-1","",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"","Podnikateľský","Živnostník","Slovensko"
6,20,24,"Fakulta riadenia a informatiky ŽU v Žiline",3,NULL,"",1993,"",1,"Žilinský","Žilina","Žilina","Univeritná 8215/1",1026,"pedagóg","Verejný",NULL,"Slovensko"
7,21,24,"Fakulta riadenia a informatiky ŽU v Žiline",3,"","",1993,"",1,"Žilinský","Žilina","Žilina","Univeritná 8215/1",1026,"pedagóg","Verejný",NULL,"Slovensko"
8,22,24,"Fakulta riadenia a informatiky ŽU v Žiline",3,"","",1993,"",1,"Žilinský","Žilina","Žilina","Univeritná 8215/1",1026,"pedagóg","Verejný",NULL,"Slovensko"
9,23,18,"Jozef Mečiar - meco",1,15,34758861,"1997-1-1","",1,"Nitrianský","Šaľa","Šaľa","Vlčanská 4",92701,"","Podnikateľský","Živnostník","Slovensko"
10,26,39,"som samozamestnávateľ - notár",3,NULL,42031940,"1995-9-7","",1,"Prešovský","Snina","Snina","Partizánska 1057/28",6901,"Nakoľko som som nenašla v žiadnej inej pozícii,  moje povolanie nie je podnikanie, uviedla som to takto ","Verejný",NULL,"Slovensko"
11,27,39,"som samozamestnávateľ - notár",3,"",42031940,"1995-9-7","",1,"Prešovský","Snina","Snina","Partizánska 1057/28",6901,"Nakoľko som som nenašla v žiadnej inej pozícii,  moje povolanie nie je podnikanie, uviedla som to takto ","Verejný",NULL,"Slovensko"
12,28,39,"som samozamestnávateľ - notár",3,"",42031940,"1995-9-7","",1,"Prešovský","Snina","Snina","Partizánska 1057/28",6901,"Nakoľko som som nenašla v žiadnej inej pozícii,  moje povolanie nie je podnikanie, uviedla som to takto ","Verejný",NULL,"Slovensko"
13,24,28,"Artforum spol. s r.o.",1,7,35716584,1999,"",1,"Bratislavský","Bratislava","Bratislava","Kozia 20",81103,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
14,29,34,"Benlux, s.r.o.",1,7,31618189,"2002-12-1","",1,"Žilinský","Martin","Vrútky","Cyrila a Metoda 2",3861,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
15,30,34,"Benlux, s.r.o.",1,7,31618189,"2002-12-1","",1,"Žilinský","Martin","Vrútky","Cyrila a Metoda 2",3861,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
16,31,34,"Benlux, s.r.o.",1,7,31618189,"2002-12-1","",1,"Žilinský","Martin","Vrútky","Cyrila a Metoda 2",3861,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
17,32,28,"Artforum spol. s r.o.",1,7,35716584,1999,"",1,"Bratislavský","Bratislava","Bratislava","Kozia 20",81103,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
18,33,28,"Artforum spol. s r.o.",1,7,35716584,1999,"",1,"Bratislavský","Bratislava","Bratislava","Kozia 20",81103,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
19,38,37,"Ing. arch. Juraj Gallo",1,15,17979404,"1993-9-1","",1,"Žilinský","Žilina","Žilina","Hlboká cesta č. 54",1001,"","Podnikateľský","Živnostník","Slovensko"
20,39,37,"Ing. arch. Juraj Gallo",1,15,17979404,"1993-9-1","",1,"Žilinský","Žilina","Žilina","Hlboká cesta č. 54",1001,"","Podnikateľský","Živnostník","Slovensko"
21,41,27,"Dušan Maňák",1,10,34352805,"1996-1-1","",1,"Žilinský","Žilina","Žilina","Bajzova 28 ",1010,"","Podnikateľský","Samostatne podnikajúca fyzická osoba","Slovensko"
22,41,27,"Dušan Maňák",1,15,34352805,"2006-1-1","",1,"Žilinský","Žilina","Žilina","Bajzova 28",1011,"Zaroveň som konateľom MA.AT-SK, s.r.o., so sídlom Štefánikova 28, 010 01 Žilina , zapísaný v Obchodnom registri Okresného súdu Žilina, v Oddieli: Sa, vo Vložke č. 18967/L IČO:36777757, DIČ:  2022375894\nIČ DPH:SK 2022375894","Podnikateľský","Živnostník","Slovensko"
23,42,26,"Štátna ochrana prírody, Správa NP Malá Fatra",3,NULL,"",2005,"",1,"Žilinský","Žilina","Varín","Hrnčiarska 197",1313,"","Verejný",NULL,"Slovensko"
24,43,26,"Štátna ochrana prírody, Správa NP Malá Fatra",3,"","",2005,"",1,"Žilinský","Žilina","Varín","Hrnčiarska 197",1313,"","Verejný",NULL,"Slovensko"
25,45,27,"Dušan Maňák",1,10,34352805,"1996-1-1","",1,"Žilinský","Žilina","Žilina","Bajzova 28 ",1010,"","Podnikateľský","Samostatne podnikajúca fyzická osoba","Slovensko"
26,45,27,"Dušan Maňák",1,15,34352805,"2006-1-1","",1,"Žilinský","Žilina","Žilina","Bajzova 28",1011,"Zaroveň som konateľom MA.AT-SK, s.r.o., so sídlom Štefánikova 28, 010 01 Žilina , zapísaný v Obchodnom registri Okresného súdu Žilina, v Oddieli: Sa, vo Vložke č. 18967/L IČO:36777757, DIČ:  2022375894\nIČ DPH:SK 2022375894","Podnikateľský","Živnostník","Slovensko"
27,47,25,"Ing. Miroslava Kapustová",1,15,36975346,1996,"",1,"Žilinský","Žilina","Žilina","Jarná 2598/32",1001,"","Podnikateľský","Živnostník","Slovensko"
28,48,25,"Ing. Miroslava Kapustová",1,15,36975346,1996,"",1,"Žilinský","Žilina","Žilina","Jarná 2598/32",1001,"","Podnikateľský","Živnostník","Slovensko"
29,49,30,"Klub plaveckých športov Nereus",2,3,31940803,1996,"",1,"Žilinský","Žilina","Žilina","Vysokoškolákov 8",1008,"","Neziskový","Občianske združenie","Slovensko"
30,50,30,"Klub plaveckých športov Nereus",2,3,31940803,1996,"",1,"Žilinský","Žilina","Žilina","Vysokoškolákov 8",1008,"","Neziskový","Občianske združenie","Slovensko"
31,52,35,"Gymnázium",3,NULL,"","1995-9-1","",1,"Žilinský","Žilina","Žilina","Varšavská cesta 1",1008,"","Verejný",NULL,"Slovensko"
32,53,35,"Gymnázium",3,"","","1995-9-1","",1,"Žilinský","Žilina","Žilina","Varšavská cesta 1",1008,"","Verejný",NULL,"Slovensko"
33,58,40,"Univerzita Konštantína Filozofa",3,NULL,"",2005,2007,1,"Nitrianský","Nitra","Nitra","Kraskova 1",94974,"","Verejný",NULL,"Slovensko"
34,59,44,"FCHPT STU",2,18,"","1980-9-1","",1,"Bratislavský","Bratislava II","Bratislava","Radlinského 21",81107,"","Neziskový","Nezisková organizácia","Slovensko"
35,58,40,"Pedagogická fakulta Univerzity Komenského v Bratislave",3,NULL,"","2008-1-1","",1,"Bratislavský","Bratislava","Bratislava","Račianska 59",81334,"","Verejný",NULL,"Slovensko"
36,60,40,"Univerzita Konštantína Filozofa",3,"","",2005,2007,1,"Nitrianský","Nitra","Nitra","Kraskova 1",94974,"","Verejný",NULL,"Slovensko"
37,60,40,"Pedagogická fakulta Univerzity Komenského v Bratislave",3,"","","2008-1-1","",1,"Bratislavský","Bratislava","Bratislava","Račianska 59",81334,"","Verejný",NULL,"Slovensko"
38,61,48,"Slobodné Fórum",3,NULL,30794960,2004,"",1,"Bratislavský","Bratislava II","Bratislava","Bazová 9",82108,"","Verejný",NULL,"Slovensko"
39,62,48,"Slobodné Fórum",3,"",30794960,2004,"",1,"Bratislavský","Bratislava II","Bratislava","Bazová 9",82108,"","Verejný",NULL,"Slovensko"
40,63,40,"Univerzita Konštantína Filozofa",3,"","",2005,2007,1,"Nitrianský","Nitra","Nitra","Kraskova 1",94974,"","Verejný",NULL,"Slovensko"
41,63,40,"Pedagogická fakulta Univerzity Komenského v Bratislave",3,"","","2008-1-1","",1,"Bratislavský","Bratislava","Bratislava","Račianska 59",81334,"","Verejný",NULL,"Slovensko"
42,64,46,"1.Zupna",1,5,44475012,2008,"",1,"Bratislavský","Bratislava","Bratislava II","Sabinovska 16",82005,"Akciová spoločnosť bola založená uznesením č.70,71 a 72 Zastupiteľstva BSK dňa 17.09.2008","Podnikateľský","Akciová spoločnosť","Slovensko"
43,65,46,"1.Zupna",1,5,44475012,2008,"",1,"Bratislavský","Bratislava","Bratislava II","Sabinovska 16",82005,"Akciová spoločnosť bola založená uznesením č.70,71 a 72 Zastupiteľstva BSK dňa 17.09.2008","Podnikateľský","Akciová spoločnosť","Slovensko"
723,849,113,"Obec Prečín",3,"","","1998-8","",1,"Trenčiansky","Považská Bystrica","Prečín","Prečín 106","01815","riaditeľka ZŠ","Verejný",NULL,"Slovensko"
722,848,78,"Nadácia F. A. Hayeka Bratislava",2,2,31784577,"2004-7","",1,"Bratislavský","Bratislava 2","Bratislava","Jašíkova 6",82103,"","Neziskový","Nadácia","Slovensko"
47,69,55,"ZŠ",3,NULL,"","1992-9-1","",1,"Banskobystrický","Zvolen","Zvolen","Námestie mládeže 17",96001,"","Verejný",NULL,"Slovensko"
48,70,61,"VERITY s.r.o. ",1,7,35892587,"2005-6-17","",1,"Bratislavský","Bratislava","Bratislava 1","Mikulášska 9",81101,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
49,71,61,"VERITY s.r.o. ",1,7,35892587,"2005-6-17","",1,"Bratislavský","Bratislava","Bratislava 1","Mikulášska 9",81101,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
50,74,55,"ZŠ",3,"","","1992-9-1","",1,"Banskobystrický","Zvolen","Zvolen","Námestie mládeže 17",96001,"","Verejný",NULL,"Slovensko"
52,77,45,"MUDr. Miroslav Mikolášik, s.r.o.",1,7,634905,"2008-1-1","",1,"Žilinský","D.Kubín","D.Kubín","Samuela Novaka 1767/3",2601,"Ako praktický lekár pre dospelých, keďže nevykonávam t.č. lekárske povolanie, vytvoril som z mojej lekarskej ambulancie s.r.o, kde zamestnavam odbornú lekárku a zdravotnú sestru. Starajú sa o mojich pôvodných pacientov.","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
53,78,56,"GE WEST s.r.o.",1,7,44475055,"2009-1-1","",1,"Prešovský","Levoča","Levoča","Ovocinárska 25",5401,"","Podnikateľský","Spoločnosť s ručením obmedzeným","Slovensko"
54,80,54,"SZČO",1,15,37564714,2001,"",1,"Bratislavský","Bratislava","Staré mesto","Slávičie údolie 98",81102,"","Podnikateľský","Živnostník","Slovensko"
